[2025-05-28T17:21:13.570849200] Restart Game
[2025-05-28T17:21:21.107225600] Initializing game with board size: 10
[2025-05-28T17:21:25.078296100] Random magic element chosen: ICE
[2025-05-28T17:21:25.237901800] Random magic element chosen: ICE
[2025-05-28T17:21:25.248311600] Random magic element chosen: LIGHTNING
[2025-05-28T17:21:25.248814400] Random magic element chosen: ICE
[2025-05-28T17:21:25.248814400] Random magic element chosen: FIRE
[2025-05-28T17:21:25.252014400] Random magic element chosen: LIGHTNING
[2025-05-28T17:21:25.252014400] Random magic element chosen: FIRE
[2025-05-28T17:21:25.252511900] Random magic element chosen: FIRE
[2025-05-28T17:21:25.252511900] Random magic element chosen: ACID
[2025-05-28T17:21:25.318955100] Calculated distance between (8, 8) and (0, 0) = 16
[2025-05-28T17:21:25.319946300] Calculated distance between (8, 8) and (0, 1) = 15
[2025-05-28T17:21:25.319946300] Calculated distance between (8, 8) and (0, 2) = 14
[2025-05-28T17:21:25.319946300] Calculated distance between (8, 8) and (0, 3) = 13
[2025-05-28T17:21:25.319946300] Calculated distance between (8, 8) and (0, 6) = 10
[2025-05-28T17:21:25.319946300] Calculated distance between (8, 8) and (0, 7) = 9
[2025-05-28T17:21:25.319946300] Calculated distance between (8, 8) and (0, 9) = 9
[2025-05-28T17:21:25.319946300] Calculated distance between (8, 8) and (1, 1) = 14
[2025-05-28T17:21:25.319946300] Calculated distance between (8, 8) and (1, 2) = 13
[2025-05-28T17:21:25.319946300] Calculated distance between (8, 8) and (1, 3) = 12
[2025-05-28T17:21:25.320946500] Calculated distance between (8, 8) and (1, 4) = 11
[2025-05-28T17:21:25.320946500] Calculated distance between (8, 8) and (1, 5) = 10
[2025-05-28T17:21:25.320946500] Calculated distance between (8, 8) and (1, 7) = 8
[2025-05-28T17:21:25.320946500] Calculated distance between (8, 8) and (1, 8) = 7
[2025-05-28T17:21:25.320946500] Calculated distance between (8, 8) and (1, 9) = 8
[2025-05-28T17:21:25.320946500] Calculated distance between (8, 8) and (2, 0) = 14
[2025-05-28T17:21:25.320946500] Calculated distance between (8, 8) and (2, 1) = 13
[2025-05-28T17:21:25.320946500] Calculated distance between (8, 8) and (2, 3) = 11
[2025-05-28T17:21:25.320946500] Calculated distance between (8, 8) and (2, 5) = 9
[2025-05-28T17:21:25.320946500] Calculated distance between (8, 8) and (2, 7) = 7
[2025-05-28T17:21:25.320946500] Calculated distance between (8, 8) and (2, 8) = 6
[2025-05-28T17:21:25.320946500] Calculated distance between (8, 8) and (3, 0) = 13
[2025-05-28T17:21:25.321945100] Calculated distance between (8, 8) and (3, 1) = 12
[2025-05-28T17:21:25.321945100] Calculated distance between (8, 8) and (3, 3) = 10
[2025-05-28T17:21:25.321945100] Calculated distance between (8, 8) and (3, 4) = 9
[2025-05-28T17:21:25.321945100] Calculated distance between (8, 8) and (3, 6) = 7
[2025-05-28T17:21:25.321945100] Calculated distance between (8, 8) and (3, 7) = 6
[2025-05-28T17:21:25.321945100] Calculated distance between (8, 8) and (4, 0) = 12
[2025-05-28T17:21:25.321945100] Calculated distance between (8, 8) and (4, 1) = 11
[2025-05-28T17:21:25.321945100] Calculated distance between (8, 8) and (4, 2) = 10
[2025-05-28T17:21:25.321945100] Calculated distance between (8, 8) and (4, 4) = 8
[2025-05-28T17:21:25.321945100] Calculated distance between (8, 8) and (4, 5) = 7
[2025-05-28T17:21:25.321945100] Calculated distance between (8, 8) and (4, 6) = 6
[2025-05-28T17:21:25.322946800] Calculated distance between (8, 8) and (4, 7) = 5
[2025-05-28T17:21:25.322946800] Calculated distance between (8, 8) and (5, 2) = 9
[2025-05-28T17:21:25.322946800] Calculated distance between (8, 8) and (5, 3) = 8
[2025-05-28T17:21:25.322946800] Calculated distance between (8, 8) and (5, 4) = 7
[2025-05-28T17:21:25.322946800] Calculated distance between (8, 8) and (5, 5) = 6
[2025-05-28T17:21:25.322946800] Calculated distance between (8, 8) and (5, 9) = 4
[2025-05-28T17:21:25.322946800] Calculated distance between (8, 8) and (6, 1) = 9
[2025-05-28T17:21:25.322946800] Calculated distance between (8, 8) and (6, 2) = 8
[2025-05-28T17:21:25.322946800] Calculated distance between (8, 8) and (6, 3) = 7
[2025-05-28T17:21:25.322946800] Calculated distance between (8, 8) and (6, 7) = 3
[2025-05-28T17:21:25.323944400] Calculated distance between (8, 8) and (7, 2) = 7
[2025-05-28T17:21:25.323944400] Calculated distance between (8, 8) and (7, 3) = 6
[2025-05-28T17:21:25.323944400] Calculated distance between (8, 8) and (7, 4) = 5
[2025-05-28T17:21:25.323944400] Calculated distance between (8, 8) and (7, 7) = 2
[2025-05-28T17:21:25.428101300] Calculated distance between (8, 8) and (7, 8) = 1
[2025-05-28T17:21:25.468946500] Calculated distance between (8, 8) and (8, 1) = 7
[2025-05-28T17:21:25.468946500] Calculated distance between (8, 8) and (8, 2) = 6
[2025-05-28T17:21:25.468946500] Calculated distance between (8, 8) and (8, 4) = 4
[2025-05-28T17:21:25.468946500] Calculated distance between (8, 8) and (8, 6) = 2
[2025-05-28T17:21:25.543531900] Calculated distance between (8, 8) and (8, 7) = 1
[2025-05-28T17:21:25.634472500] Calculated distance between (8, 8) and (8, 9) = 1
[2025-05-28T17:21:25.643208200] Calculated distance between (8, 8) and (9, 1) = 8
[2025-05-28T17:21:25.643208200] Calculated distance between (8, 8) and (9, 3) = 6
[2025-05-28T17:21:25.643208200] Calculated distance between (8, 8) and (9, 4) = 5
[2025-05-28T17:21:25.643208200] Calculated distance between (8, 8) and (9, 5) = 4
[2025-05-28T17:21:25.643208200] Calculated distance between (8, 8) and (9, 6) = 3
[2025-05-28T17:21:25.644207500] Calculated distance between (8, 8) and (9, 7) = 2
[2025-05-28T17:21:25.678601900] Calculated distance between (8, 8) and (9, 9) = 2
[2025-05-28T17:21:28.405594400] Calculated distance between (9, 8) and (0, 0) = 17
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (0, 1) = 16
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (0, 2) = 15
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (0, 3) = 14
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (0, 6) = 11
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (0, 7) = 10
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (0, 9) = 10
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (1, 1) = 15
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (1, 2) = 14
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (1, 3) = 13
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (1, 4) = 12
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (1, 5) = 11
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (1, 7) = 9
[2025-05-28T17:21:28.406636100] Calculated distance between (9, 8) and (1, 8) = 8
